SLE,Sierra Leone,1961
SLV,El Salvador,1841
SMR,San Marino,885
SOM,Somalia,1960
SPM,Saint Pierre and Miquelon,0
STP,Sao Tome and Principe,1975
SUR,Suriname,1975
SVK,Slovakia,1993
SVN,Slovenia,1991
SWE,Sweden,836
SWZ,Swaziland,1968
SYC,Seychelles,1976
SYR,Syria,1941
TCA,Turks and Caicos Islands,0
TCD,Chad,1960
TGO,Togo,1960
THA,Thailand,1350
TJK,Tajikistan,1991
TKL,Tokelau,0
TKM,Turkmenistan,1991
TMP,East Timor,0
TON,Tonga,1970
TTO,Trinidad and Tobago,1962
TUN,Tunisia,1956
TUR,Turkey,1923
TUV,Tuvalu,1978
TWN,Taiwan,1945
TZA,Tanzania,1961
UGA,Uganda,1962
UKR,Ukraine,1991
UMI,United States Minor Outlying Islands,0
URY,Uruguay,1828
USA,United States,1776
UZB,Uzbekistan,1991
VAT,Holy See (Vatican tbl_city State),1929
VCT,Saint Vincent and the Grenadines,1979
VEN,Venezuela,1811
VGB,"Virgin Islands, British",0
VIR,"Virgin Islands, U.S.",0
VNM,Vietnam,1945
VUT,Vanuatu,1980
WLF,Wallis and Futuna,0
WSM,Samoa,1962
YEM,Yemen,1918
YUG,Yugoslavia,1918
ZAF,South Africa,1910
ZMB,Zambia,1964
ZWE,Zimbabwe,1980
